h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,exp_name,D,N,D/N
1024,9552,16,8,0.0004883,192,203450,2.332388,2.3306351253017326,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr4.883e-04_bs192_ti203450_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.0006905,256,190734,2.331722,2.3614372151469563,step2v2_0618_h960_ffnh9368_numh15_numl7_lr6.905e-04_bs256_ti190734_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.0003453,32,1525878,2.433482,2.4101364871574154,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.453e-04_bs32_ti1525878_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.001381,32,762939,2.359758,2.341425826215076,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs32_ti762939_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.003906,352,138716,2.341194,2.3467150747983263,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.906e-03_bs352_ti138716_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.0009766,2048,19073,2.358494,2.3603196048833484,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr9.766e-04_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.01105,64,381469,2.517757,2.4262482720078786,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.105e-02_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.003906,736,66342,2.357081,2.3422741059613195,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.906e-03_bs736_ti66342_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.002762,2048,11920,2.319001,2.3127788286138573,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.762e-03_bs2048_ti11920_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.002762,1024,38146,2.301595,2.3154630115161394,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr2.762e-03_bs1024_ti38146_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.001381,192,254313,2.393257,2.354579460927984,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.381e-03_bs192_ti254313_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0002441,512,47683,2.317883,2.313004729579026,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.441e-04_bs512_ti47683_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0006905,192,203450,2.321939,2.3230862523924216,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr6.905e-04_bs192_ti203450_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.003906,1024,23841,2.272371,2.280943551219101,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs1024_ti23841_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.0006905,352,138716,2.358972,2.3642792766895067,step2v2_0618_h960_ffnh9368_numh15_numl7_lr6.905e-04_bs352_ti138716_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.007812,512,95367,2.352086,2.3494301150240684,step2v2_0618_h960_ffnh9368_numh15_numl7_lr7.812e-03_bs512_ti95367_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0004883,192,127156,2.281528,2.2761476182743805,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0002441,256,95367,2.29826,2.2978879075979273,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.441e-04_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0006905,352,110973,2.319066,2.326889875877714,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr6.905e-04_bs352_ti110973_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.003906,256,95367,2.267441,2.263762027884543,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.0004883,512,95367,2.381191,2.3781761356770184,step2v2_0618_h960_ffnh9368_numh15_numl7_lr4.883e-04_bs512_ti95367_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.001381,352,110973,2.302697,2.3124695126096158,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.381e-03_bs352_ti110973_mlr1.00e-05,80000000000,268304384,298.1688141182218
