seq_len,topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,exp_name,moe_layer_enum_type,mfa_version,numld,Nattn,N,Na,M,kvcache,D,D/N,total_time,Na/N,moe_name
2048,2,88,352,704,1408,3904,11,16,2.441e-04,256,3814,2.692849,2.709785124933639,1.443761,-1,3813,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs256_ti3814_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,5506.504454,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,2.441e-04,256,3814,2.655468,2.6715686215271495,2.1795619999999998,-1,3813,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs256_ti3814_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,8312.849467999999,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,2.441e-04,256,3814,2.642489,2.6580758770567603,4.149699,-1,3813,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs256_ti3814_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,15826.951986,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,2.441e-04,512,1907,2.854747,2.857691337963915,2.433513,-1,1906,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs512_ti1907_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,4640.709291,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,2.441e-04,512,1907,2.823533,2.8273452028005086,2.644311,-1,1906,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs512_ti1907_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,5042.701077,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,2.441e-04,512,1907,2.77343,2.774459626865038,4.156099,-1,1906,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs512_ti1907_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,7925.680793,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,2.441e-04,512,1907,2.764828,2.767012902205854,8.157355,-1,1906,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs512_ti1907_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,15556.075985000001,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,3.453e-04,32,30517,2.715764,2.6757352065648243,0.406694,-1,30516,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr3.453e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,12411.080798,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,3.453e-04,32,30517,2.682009,2.6378488739553494,0.41768,-1,30516,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr3.453e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,12746.34056,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,3.453e-04,32,30517,2.638025,2.5939819625367373,0.504033,-1,30516,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr3.453e-04_bs32_ti30517_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,15381.575060999998,0.2739621497598428,1in8
